Timestamp;SPCapacityTotal;SPCapacityInUse;SPCapacityAvailable;SPCapacityInMaintenance;SPCheckSum;DPCapacityTotal;DPCapacityInUse;DPCapacityAvailable;DPCapacityInMaintenance;DPCheckSum
2017-10-28 23:19:10;103;49;48;6;0;29;11;15;3;0
2017-10-28 23:36:44;103;49;48;6;0;29;11;15;3;0
2017-10-28 23:39:37;103;49;48;6;0;29;11;15;3;0
2017-10-28 23:41:07;103;49;48;6;0;29;11;15;3;0
2017-10-29 00:00:02;103;48;49;6;0;29;11;15;3;0
2017-10-29 00:30:02;103;48;49;6;0;29;9;17;3;0
2017-10-29 01:00:02;103;48;49;6;0;29;9;17;3;0
2017-10-29 01:30:03;103;47;50;6;0;29;9;17;3;0
2017-10-29 02:00:02;103;47;50;6;0;29;9;17;3;0
2017-10-29 02:30:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 03:00:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 03:30:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 04:00:03;103;47;50;6;0;29;8;18;3;0
2017-10-29 04:30:03;103;47;50;6;0;29;8;18;3;0
2017-10-29 05:00:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 05:30:03;103;47;50;6;0;29;8;18;3;0
2017-10-29 06:00:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 06:30:01;103;47;50;6;0;29;8;18;3;0
2017-10-29 07:00:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 07:30:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 08:00:03;103;47;50;6;0;29;8;18;3;0
2017-10-29 08:30:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 09:00:02;103;47;50;6;0;29;8;18;3;0
2017-10-29 09:30:02;103;47;50;6;0;29;9;17;3;0
2017-10-29 10:00:03;103;47;50;6;0;29;10;16;3;0
2017-10-29 10:30:02;103;47;50;6;0;29;12;14;3;0
2017-10-29 11:00:03;103;51;46;6;0;29;12;14;3;0
2017-10-29 11:30:01;103;51;46;6;0;29;13;13;3;0
2017-10-29 12:00:02;103;50;47;6;0;29;14;12;3;0
2017-10-29 12:30:02;103;50;47;6;0;29;14;12;3;0
2017-10-29 13:00:03;103;52;45;6;0;29;12;14;3;0
2017-10-29 13:30:02;103;52;45;6;0;29;12;14;3;0
2017-10-29 14:00:02;103;51;46;6;0;29;12;14;3;0
2017-10-29 14:30:03;103;51;46;6;0;29;12;14;3;0
2017-10-29 15:00:02;103;51;46;6;0;29;12;14;3;0
2017-10-29 15:30:02;103;51;46;6;0;29;12;14;3;0
2017-10-29 16:00:03;103;50;47;6;0;29;13;13;3;0
2017-10-29 16:30:02;103;50;47;6;0;29;13;13;3;0
2017-10-29 17:00:02;103;48;49;6;0;29;13;13;3;0
2017-10-29 17:30:03;103;47;50;6;0;29;12;14;3;0
2017-10-29 18:00:02;103;47;50;6;0;29;12;14;3;0
2017-10-29 18:30:02;103;48;49;6;0;29;14;12;3;0
2017-10-29 19:00:02;103;47;50;6;0;29;12;14;3;0
2017-10-29 19:30:02;103;50;46;7;0;29;13;13;3;0
2017-10-29 20:00:02;103;49;47;7;0;29;13;13;3;0
2017-10-29 20:30:02;103;50;46;7;0;29;13;13;3;0
2017-10-29 21:00:02;103;50;46;7;0;29;13;13;3;0
2017-10-29 21:30:02;103;50;46;7;0;29;13;13;3;0
2017-10-29 22:00:02;103;50;46;7;0;29;13;13;3;0
2017-10-29 22:30:03;103;49;47;7;0;29;11;15;3;0
2017-10-29 23:00:02;103;49;47;7;0;29;11;15;3;0
2017-10-29 23:30:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 00:00:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 00:30:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 01:00:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 01:30:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 02:00:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 02:30:01;103;49;47;7;0;29;10;16;3;0
2017-10-30 03:00:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 03:30:03;103;49;47;7;0;29;10;16;3;0
2017-10-30 04:00:03;103;49;47;7;0;29;10;16;3;0
2017-10-30 04:30:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 05:00:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 05:30:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 06:00:01;103;49;47;7;0;29;10;16;3;0
2017-10-30 06:30:02;103;49;47;7;0;29;10;16;3;0
2017-10-30 07:00:01;103;50;46;7;0;29;10;16;3;0
2017-10-30 07:30:02;103;52;44;7;0;29;9;17;3;0
2017-10-30 08:00:03;103;53;43;7;0;29;10;16;3;0
2017-10-30 08:30:02;103;59;37;7;0;29;12;14;3;0
2017-10-30 09:00:02;103;62;34;7;0;29;13;13;3;0
2017-10-30 09:30:02;103;65;31;7;0;29;14;12;3;0
2017-10-30 10:00:03;103;68;28;7;0;29;14;12;3;0
2017-10-30 10:30:02;103;69;27;7;0;29;14;12;3;0
2017-10-30 11:00:02;103;51;45;7;0;29;15;11;3;0
2017-10-30 11:30:02;103;55;41;7;0;29;14;12;3;0
2017-10-30 12:00:02;103;56;40;7;0;29;12;14;3;0
2017-10-30 12:30:02;103;57;39;7;0;29;13;13;3;0
2017-10-30 13:00:02;103;58;38;7;0;29;14;12;3;0
2017-10-30 13:30:02;103;59;37;7;0;29;17;9;3;0
2017-10-30 14:00:02;103;61;35;7;0;29;19;7;3;0
2017-10-30 14:30:02;103;62;34;7;0;29;20;6;3;0
2017-10-30 15:00:02;103;63;33;7;0;29;20;6;3;0
2017-10-30 16:00:02;103;62;34;7;0;29;19;7;3;0
2017-10-30 16:30:02;103;54;44;5;0;29;19;7;3;0
2017-10-30 17:00:02;103;53;45;5;0;29;21;5;3;0
2017-10-30 17:30:03;103;50;48;5;0;29;19;6;4;0
2017-10-30 18:00:03;103;47;51;5;0;29;15;10;4;0
2017-10-30 18:30:02;103;52;46;5;0;29;13;12;4;0
2017-10-30 19:00:02;103;47;51;5;0;29;12;13;4;0
2017-10-30 19:30:03;103;48;50;5;0;29;12;13;4;0
2017-10-30 20:00:02;103;47;51;5;0;29;13;12;4;0
2017-10-30 20:30:02;103;47;51;5;0;29;13;12;4;0
2017-10-30 21:00:02;103;47;51;5;0;29;13;12;4;0
2017-10-30 21:30:02;103;47;51;5;0;29;11;14;4;0
2017-10-30 22:00:02;103;47;51;5;0;29;11;14;4;0
2017-10-30 22:30:02;103;47;51;5;0;29;9;16;4;0
2017-10-30 23:00:04;103;47;51;5;0;29;9;16;4;0
2017-10-30 23:30:02;103;47;51;5;0;29;9;16;4;0
2017-10-31 00:00:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 00:30:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 01:00:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 01:30:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 02:00:04;103;47;51;5;0;29;10;15;4;0
2017-10-31 02:30:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 03:00:03;103;47;51;5;0;29;10;15;4;0
2017-10-31 03:30:03;103;47;51;5;0;29;10;15;4;0
2017-10-31 04:00:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 04:30:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 05:00:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 05:30:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 06:00:03;103;47;51;5;0;29;10;15;4;0
2017-10-31 06:30:02;103;47;51;5;0;29;10;15;4;0
2017-10-31 07:00:01;103;48;50;5;0;29;10;15;4;0
2017-10-31 07:30:02;103;47;51;5;0;29;9;16;4;0
2017-10-31 08:00:02;103;49;49;5;0;29;11;14;4;0
2017-10-31 08:30:02;103;56;42;5;0;29;11;14;4;0
2017-10-31 09:00:03;103;56;42;5;0;29;11;14;4;0
2017-10-31 09:30:02;103;59;39;5;0;29;11;14;4;0
2017-10-31 10:00:02;103;61;37;5;0;29;11;14;4;0
2017-10-31 10:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 11:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 11:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 12:00:01;103;63;35;5;0;29;11;14;4;0
2017-10-31 12:30:01;103;63;35;5;0;29;11;14;4;0
2017-10-31 13:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 13:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 14:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 14:30:05;103;63;35;5;0;29;11;14;4;0
2017-10-31 15:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 15:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 16:00:03;103;63;35;5;0;29;11;14;4;0
2017-10-31 16:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 17:00:01;103;63;35;5;0;29;11;14;4;0
2017-10-31 17:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 18:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 18:30:04;103;63;35;5;0;29;11;14;4;0
2017-10-31 19:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 19:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 20:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 20:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 21:00:01;103;63;35;5;0;29;11;14;4;0
2017-10-31 21:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 22:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 22:30:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 23:00:02;103;63;35;5;0;29;11;14;4;0
2017-10-31 23:30:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 00:00:01;103;63;35;5;0;29;11;14;4;0
2017-11-01 00:30:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 01:00:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 01:30:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 02:00:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 02:30:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 03:00:03;103;63;35;5;0;29;11;14;4;0
2017-11-01 03:30:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 04:00:03;103;63;35;5;0;29;11;14;4;0
2017-11-01 04:30:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 05:00:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 05:30:03;103;63;35;5;0;29;11;14;4;0
2017-11-01 06:00:02;103;63;35;5;0;29;11;14;4;0
2017-11-01 06:30:03;103;63;35;5;0;29;11;14;4;0
2017-11-01 07:00:02;103;63;35;5;0;29;11;14;4;0
