no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
73,,,47.00,30,-6.000,4,,,,,,0,0.00,0,253,352.78,211,0,400.00,1
33,,,21.01,21,-9.000,3,5,1,5,1,5,1,0.43,0,67,59.95,6,0,400.00,1
101,,,132.49,22,11.000,3,4,3,5,1,1,0,0.00,0,78,86.27,4,0,400.00,1
132,,,32.09,26,-9.000,6,4,2,2,4,1,0,0.00,0,180,314.88,16,0,400.00,1
112,47,,3.63,34,-10.000,1,4,1,3,2,1,16,14.50,0,425,452.47,10,0,400.00,1
112,48,M,0.48,49,-25.000,2,4,3,1,5,2,0,0.00,0,10,7.77,11,0,400.00,1
56,,,21.61,32,-8.000,1,3,3,1,5,1,0,0.00,0,38,22.48,4,0,400.00,1
109,,,84.07,13,10.000,3,0,0,0,0,0,3,0.45,1,167,228.85,32,0,400.00,1
85,,,64.48,39,-9.000,5,3,2,2,4,1,2,2.03,0,152,181.30,63,0,400.00,1
108,69,M,0.00,28,-15.000,2,4,1,1,3,2,0,0.00,0,31,32.05,11,0,400.00,1
115,52,M,16.61,32,-8.000,2,,,,,,0,0.00,0,26,31.37,8,0,400.00,1
114,53,,129.07,34,-9.000,5,,,,,,2,1.00,0,182,212.82,44,0,400.00,1
111,44,V,3.88,26,-9.000,1,,,,,,0,0.00,0,8,11.30,24,0,400.00,1
98,45,M,13.27,46,-11.000,2,,,,,,0,0.00,0,25,16.20,21,0,400.00,1
109,56,V,14.02,25,-13.000,2,3,3,5,1,1,0,0.00,0,110,68.50,3,0,400.00,1
108,60,M,40.50,33,-8.000,3,,,,,,2,1.83,0,115,223.10,20,0,400.00,1
80,60,V,62.01,33,1.000,3,,,,,,0,0.00,0,104,170.05,132,0,400.00,1
107,41,M,1.44,38,-10.000,2,2,2,1,4,1,0,0.00,0,3,5.43,7,0,400.00,1
107,58,,6.07,41,-17.000,1,,,,,,0,0.00,0,11,11.95,3,0,400.00,1
107,27,M,210.20,38,-4.000,5,5,3,5,5,2,0,0.00,0,208,196.28,37,0,400.00,1
106,39,V,5.28,51,-21.000,8,5,1,3,3,1,0,0.00,0,71,77.02,48,0,400.00,1
102,,,10.24,37,-9.000,10,5,2,5,5,1,0,0.00,0,116,123.03,3,0,400.00,1
83,,,6.93,34,-9.000,3,4,1,3,2,1,2,0.22,0,79,92.18,2,0,400.00,1
32,,,92.33,20,-8.000,1,3,2,5,1,1,0,0.00,0,71,368.78,41,0,400.00,1
96,39,V,21.12,37,-13.000,2,5,3,5,1,1,0,0.00,0,95,198.15,30,0,400.00,1
95,30,M,79.87,40,-16.000,3,2,1,4,2,1,3,0.93,0,122,189.85,1,0,400.00,1
94,53,V,0.48,27,-15.000,2,4,3,5,5,1,0,0.00,0,15,13.53,12,0,400.00,1
93,,,0.66,44,-20.000,3,2,1,2,3,1,0,0.00,0,12,15.72,2,0,400.00,1
93,49,M,32.78,25,-13.000,5,4,3,5,1,1,7,3.07,2,118,135.25,5,0,400.00,1
83,26,M,30.00,37,-13.000,2,1,1,5,1,4,0,0.00,0,84,87.57,9,0,400.00,1
